y,ds
11.7519416054449,2000-01-31
11.7519416054449,2000-02-29
12.0018236382118,2000-03-31
12.2517056709788,2000-04-30
12.5015877037457,2000-05-31
12.3766466873623,2000-06-30
12.3766466873623,2000-07-31
12.3766466873623,2000-08-31
12.6265287201292,2000-09-30
13.2512338020465,2000-10-31
14.0008799003474,2000-11-30
13.1262927856631,2000-12-31
12.1267646545953,2001-01-31
12.1267646545953,2001-02-28
12.3766466873623,2001-03-31
12.5015877037457,2001-04-30
12.5015877037457,2001-05-31
12.2517056709788,2001-06-30
12.1267646545953,2001-07-31
12.1267646545953,2001-08-31
12.2517056709788,2001-09-30
12.7514697365127,2001-10-31
13.6260568511969,2001-11-30
12.6265287201292,2001-12-31
11.7519416054449,2002-01-31
11.7519416054449,2002-02-28
12.0018236382118,2002-03-31
12.2517056709788,2002-04-30
12.2517056709788,2002-05-31
12.1267646545953,2002-06-30
11.8768826218284,2002-07-31
12.0018236382118,2002-08-31
12.2517056709788,2002-09-30
13.1262927856631,2002-10-31
14.0008799003474,2002-11-30
12.6265287201292,2002-12-31
11.8768826218284,2003-01-31
11.8768826218284,2003-02-28
12.0018236382118,2003-03-31
12.2517056709788,2003-04-30
12.2517056709788,2003-05-31
12.1267646545953,2003-06-30
12.0018236382118,2003-07-31
12.0018236382118,2003-08-31
12.1267646545953,2003-09-30
12.7514697365127,2003-10-31
13.8759388839639,2003-11-30
12.8764107528961,2003-12-31
11.8768826218284,2004-01-31
11.8768826218284,2004-02-29
11.8768826218284,2004-03-31
12.1267646545953,2004-04-30
12.1267646545953,2004-05-31
12.0018236382118,2004-06-30
11.8768826218284,2004-07-31
11.8768826218284,2004-08-31
12.0018236382118,2004-09-30
12.7514697365127,2004-10-31
13.8759388839639,2004-11-30
12.7514697365127,2004-12-31
11.8768826218284,2005-01-31
11.7519416054449,2005-02-28
11.7519416054449,2005-03-31
12.0018236382118,2005-04-30
12.0018236382118,2005-05-31
11.8768826218284,2005-06-30
11.6270005890614,2005-07-31
11.6270005890614,2005-08-31
11.8768826218284,2005-09-30
12.5015877037457,2005-10-31
14.0008799003474,2005-11-30
12.8764107528961,2005-12-31
11.6270005890614,2006-01-31
11.6270005890614,2006-02-28
11.6270005890614,2006-03-31
11.8768826218284,2006-04-30
12.0018236382118,2006-05-31
12.0018236382118,2006-06-30
11.7519416054449,2006-07-31
11.7519416054449,2006-08-31
12.1267646545953,2006-09-30
12.8764107528961,2006-10-31
14.3757029494978,2006-11-30
13.5011158348135,2006-12-31
12.0018236382118,2007-01-31
12.0018236382118,2007-02-28
12.1267646545953,2007-03-31
12.6265287201292,2007-04-30
12.7514697365127,2007-05-31
12.5015877037457,2007-06-30
12.3766466873623,2007-07-31
12.3766466873623,2007-08-31
12.8764107528961,2007-09-30
14.1258209167308,2007-10-31
15.6251131133325,2007-11-30
14.2507619331143,2007-12-31
12.5015877037457,2008-01-31
12.5015877037457,2008-02-29
12.7514697365127,2008-03-31
13.0013517692796,2008-04-30
13.0013517692796,2008-05-31
12.7514697365127,2008-06-30
12.3766466873623,2008-07-31
12.3766466873623,2008-08-31
12.8764107528961,2008-09-30
14.1258209167308,2008-10-31
15.3752310805655,2008-11-30
14.0008799003474,2008-12-31
12.2517056709788,2009-01-31
12.3766466873623,2009-02-28
12.7514697365127,2009-03-31
13.1262927856631,2009-04-30
13.37617481843,2009-05-31
13.37617481843,2009-06-30
13.37617481843,2009-07-31
13.6260568511969,2009-08-31
14.2507619331143,2009-09-30
15.9999361624829,2009-10-31
17.624169375468,2009-11-30
15.1253490477986,2009-12-31
13.37617481843,2010-01-31
13.5011158348135,2010-02-28
