y,ds
1832.96659970919,2000-01-01
1967.74031186181,2000-01-02
1909.1430457085,2000-01-03
1827.10687309386,2000-01-04
1920.86249893916,2000-01-05
1979.45976509248,2000-01-06
2090.79457078378,2000-01-07
1915.00277232383,2000-01-08
1967.74031186181,2000-01-09
2149.39183693709,2000-01-10
2541.99352016431,2000-01-11
2583.01160647163,2000-01-12
2793.96176462357,2000-01-13
2893.57711708421,2000-01-14
2858.41875739222,2000-01-15
2858.41875739222,2000-01-16
2735.36449847025,2000-01-17
2747.08395170092,2000-01-18
2776.38258477757,2000-01-19
3157.26481477413,2000-01-20
3461.97059877137,2000-01-21
3977.62654092055,2000-01-22
4381.94767737843,2000-01-23
5149.57186398687,2000-01-24
4921.04252598894,2000-01-25
4686.65346137568,2000-01-26
4768.68963399032,2000-01-27
5272.62612290884,2000-01-28
5512.87491413743,2000-01-29
5196.44967690953,2000-01-30
4774.54936060565,2000-01-31
5073.39541798756,2000-02-01
5635.9291730594,2000-02-02
6737.55777674174,2000-02-03
7757.15020780944,2000-02-04
8026.69763211469,2000-02-05
7089.14137366163,2000-02-06
7669.25430857946,2000-02-07
7007.10520104699,2000-02-08
5782.42233844269,2000-02-09
5653.50835290539,2000-02-10
5887.89741751865,2000-02-11
