y,ds
58.2817758981918,2000-01-31
13.2699495313723,2000-02-29
53.280461857434,2000-03-31
24.5229061230772,2000-04-30
28.2738916536455,2000-05-31
69.5347324898966,2000-06-30
50.7798048370552,2000-07-31
37.0261912249715,2000-08-31
25.7732346332666,2000-09-30
20.7719205925089,2000-10-31
40.7771767555397,2000-11-30
20.7719205925089,2000-12-31
18.27126357213,2001-01-31
27.023563143456,2001-02-28
27.023563143456,2001-03-31
38.2765197351609,2001-04-30
27.023563143456,2001-05-31
60.7824329185706,2001-06-30
42.0275052657292,2001-07-31
27.023563143456,2001-08-31
30.7745486740243,2001-09-30
15.7706065517512,2001-10-31
32.0248771842138,2001-11-30
18.27126357213,2001-12-31
28.2738916536455,2002-01-31
22.0222491026983,2002-02-28
30.7745486740243,2002-03-31
28.2738916536455,2002-04-30
43.2778337759186,2002-05-31
49.5294763268658,2002-06-30
47.0288193064869,2002-07-31
35.775862714782,2002-08-31
30.7745486740243,2002-09-30
27.023563143456,2002-10-31
14.5202780415617,2002-11-30
24.5229061230772,2002-12-31
30.7745486740243,2003-01-31
22.0222491026983,2003-02-28
23.2725776128877,2003-03-31
42.0275052657292,2003-04-30
39.5268482453503,2003-05-31
48.2791478166763,2003-06-30
43.2778337759186,2003-07-31
45.7784907962975,2003-08-31
19.5215920823195,2003-09-30
30.7745486740243,2003-10-31
19.5215920823195,2003-11-30
20.7719205925089,2003-12-31
20.7719205925089,2004-01-31
29.5242201638349,2004-02-29
29.5242201638349,2004-03-31
38.2765197351609,2004-04-30
43.2778337759186,2004-05-31
58.2817758981918,2004-06-30
42.0275052657292,2004-07-31
40.7771767555397,2004-08-31
30.7745486740243,2004-09-30
23.2725776128877,2004-10-31
29.5242201638349,2004-11-30
25.7732346332666,2004-12-31
19.5215920823195,2005-01-31
29.5242201638349,2005-02-28
32.0248771842138,2005-03-31
47.0288193064869,2005-04-30
45.7784907962975,2005-05-31
44.528162286108,2005-06-30
49.5294763268658,2005-07-31
52.0301333472446,2005-08-31
20.7719205925089,2005-09-30
20.7719205925089,2005-10-31
33.2752056944032,2005-11-30
20.7719205925089,2005-12-31
23.2725776128877,2006-01-31
35.775862714782,2006-02-28
27.023563143456,2006-03-31
30.7745486740243,2006-04-30
38.2765197351609,2006-05-31
60.7824329185706,2006-06-30
53.280461857434,2006-07-31
47.0288193064869,2006-08-31
30.7745486740243,2006-09-30
19.5215920823195,2006-10-31
24.5229061230772,2006-11-30
32.0248771842138,2006-12-31
29.5242201638349,2007-01-31
27.023563143456,2007-02-28
27.023563143456,2007-03-31
28.2738916536455,2007-04-30
35.775862714782,2007-05-31
38.2765197351609,2007-06-30
38.2765197351609,2007-07-31
37.0261912249715,2007-08-31
20.7719205925089,2007-09-30
24.5229061230772,2007-10-31
22.0222491026983,2007-11-30
25.7732346332666,2007-12-31
32.0248771842138,2008-01-31
23.2725776128877,2008-02-29
44.528162286108,2008-03-31
30.7745486740243,2008-04-30
42.0275052657292,2008-05-31
33.2752056944032,2008-06-30
38.2765197351609,2008-07-31
32.0248771842138,2008-08-31
25.7732346332666,2008-09-30
24.5229061230772,2008-10-31
28.2738916536455,2008-11-30
27.023563143456,2008-12-31
25.7732346332666,2009-01-31
30.7745486740243,2009-02-28
25.7732346332666,2009-03-31
39.5268482453503,2009-04-30
35.775862714782,2009-05-31
42.0275052657292,2009-06-30
42.0275052657292,2009-07-31
39.5268482453503,2009-08-31
22.0222491026983,2009-09-30
24.5229061230772,2009-10-31
22.0222491026983,2009-11-30
20.7719205925089,2009-12-31
27.023563143456,2010-01-31
22.0222491026983,2010-02-28
25.7732346332666,2010-03-31
34.5255342045926,2010-04-30
40.7771767555397,2010-05-31
43.2778337759186,2010-06-30
35.775862714782,2010-07-31
37.0261912249715,2010-08-31
33.2752056944032,2010-09-30
29.5242201638349,2010-10-31
22.0222491026983,2010-11-30
23.2725776128877,2010-12-31
23.2725776128877,2011-01-31
24.5229061230772,2011-02-28
30.7745486740243,2011-03-31
30.7745486740243,2011-04-30
39.5268482453503,2011-05-31
35.775862714782,2011-06-30
35.775862714782,2011-07-31
37.0261912249715,2011-08-31
29.5242201638349,2011-09-30
27.023563143456,2011-10-31
25.7732346332666,2011-11-30
29.5242201638349,2011-12-31
25.7732346332666,2012-01-31
24.5229061230772,2012-02-29
28.2738916536455,2012-03-31
34.5255342045926,2012-04-30
34.5255342045926,2012-05-31
40.7771767555397,2012-06-30
40.7771767555397,2012-07-31
39.5268482453503,2012-08-31
25.7732346332666,2012-09-30
27.023563143456,2012-10-31
32.0248771842138,2012-11-30
24.5229061230772,2012-12-31
29.5242201638349,2013-01-31
27.023563143456,2013-02-28
30.7745486740243,2013-03-31
35.775862714782,2013-04-30
38.2765197351609,2013-05-31
39.5268482453503,2013-06-30
47.0288193064869,2013-07-31
132.051157999368,2013-08-31
34.5255342045926,2013-09-30
33.2752056944032,2013-10-31
30.7745486740243,2013-11-30
25.7732346332666,2013-12-31
32.0248771842138,2014-01-31
