y,ds
11625.4554730223,2000-01-31
11648.5537158184,2000-02-29
11664.7224857757,2000-03-31
11676.2716071737,2000-04-30
11703.989498529,2000-05-31
11703.989498529,2000-06-30
11702.8345863892,2000-07-31
11688.9756407115,2000-08-31
11675.1166950339,2000-09-30
11653.1733643776,2000-10-31
11642.7791551194,2000-11-30
11638.1595065602,2000-12-31
11626.6103851621,2001-01-31
11653.1733643776,2001-02-28
11664.7224857757,2001-03-31
11676.2716071737,2001-04-30
11695.9051135504,2001-05-31
11700.5247621096,2001-06-30
11695.9051135504,2001-07-31
11683.2010800125,2001-08-31
11663.5675736359,2001-09-30
11673.9617828941,2001-10-31
11643.9340672592,2001-11-30
11621.9907366029,2001-12-31
11632.3849458612,2002-01-31
11649.7086279582,2002-02-28
11670.4970464747,2002-03-31
11695.9051135504,2002-04-30
11710.9189713678,2002-05-31
11707.4542349484,2002-06-30
11708.6091470882,2002-07-31
11697.0600256902,2002-08-31
11683.2010800125,2002-09-30
11673.9617828941,2002-10-31
11641.6242429796,2002-11-30
11641.6242429796,2002-12-31
11638.1595065602,2003-01-31
11664.7224857757,2003-02-28
11631.2300337214,2003-03-31
11660.1028372165,2003-04-30
11679.7363435931,2003-05-31
11697.0600256902,2003-06-30
11683.2010800125,2003-07-31
11685.5109042921,2003-08-31
11657.7930129368,2003-09-30
11642.7791551194,2003-10-31
11623.1456487427,2003-11-30
11597.7375816671,2003-12-31
11612.7514394845,2004-01-31
11655.4831886572,2004-02-29
11668.1872221951,2004-03-31
11688.9756407115,2004-04-30
11706.2993228086,2004-05-31
11699.3698499698,2004-06-30
11686.6658164319,2004-07-31
11687.8207285717,2004-08-31
11679.7363435931,2004-09-30
11661.2577493563,2004-10-31
11655.4831886572,2004-11-30
11632.3849458612,2004-12-31
11634.6947701408,2005-01-31
11662.4126614961,2005-02-28
11663.5675736359,2005-03-31
11682.0461678727,2005-04-30
11695.9051135504,2005-05-31
11702.8345863892,2005-06-30
11699.3698499698,2005-07-31
11686.6658164319,2005-08-31
11669.3421343349,2005-09-30
11647.3988036786,2005-10-31
11635.8496822806,2005-11-30
11589.6531966884,2005-12-31
11610.4416152049,2006-01-31
11617.3710880437,2006-02-28
11687.8207285717,2006-03-31
11669.3421343349,2006-04-30
11668.1872221951,2006-05-31
11678.5814314533,2006-06-30
11685.5109042921,2006-07-31
11667.0323100553,2006-08-31
11656.638100797,2006-09-30
11635.8496822806,2006-10-31
11605.8219666457,2006-11-30
11595.4277573874,2006-12-31
11637.0045944204,2007-01-31
11650.863540098,2007-02-28
11669.3421343349,2007-03-31
11703.989498529,2007-04-30
11745.5663355619,2007-05-31
11729.3975656047,2007-06-30
11709.764059228,2007-07-31
11725.9328291853,2007-08-31
11679.7363435931,2007-09-30
11655.4831886572,2007-10-31
11610.4416152049,2007-11-30
11620.8358244631,2007-12-31
11647.3988036786,2008-01-31
11661.2577493563,2008-02-29
11661.2577493563,2008-03-31
11670.4970464747,2008-04-30
11707.4542349484,2008-05-31
11705.1444106688,2008-06-30
11701.6796742494,2008-07-31
11677.4265193135,2008-08-31
11652.0184522378,2008-09-30
11653.1733643776,2008-10-31
11609.2867030651,2008-11-30
11621.9907366029,2008-12-31
11626.6103851621,2009-01-31
11663.5675736359,2009-02-28
11661.2577493563,2009-03-31
11675.1166950339,2009-04-30
11679.7363435931,2009-05-31
11700.5247621096,2009-06-30
11701.6796742494,2009-07-31
11673.9617828941,2009-08-31
11640.4693308398,2009-09-30
11656.638100797,2009-10-31
11631.2300337214,2009-11-30
11608.1317909253,2009-12-31
11613.9063516243,2010-01-31
11626.6103851621,2010-02-28
11647.3988036786,2010-03-31
11678.5814314533,2010-04-30
11692.440377131,2010-05-31
11717.8484442066,2010-06-30
11700.5247621096,2010-07-31
11686.6658164319,2010-08-31
11679.7363435931,2010-09-30
11652.0184522378,2010-10-31
11654.3282765174,2010-11-30
11631.2300337214,2010-12-31
11641.6242429796,2011-01-31
11638.1595065602,2011-02-28
11678.5814314533,2011-03-31
11680.8912557329,2011-04-30
11724.7779170455,2011-05-31
11723.6230049057,2011-06-30
11713.2287956474,2011-07-31
11712.0738835076,2011-08-31
11698.21493783,2011-09-30
11671.6519586145,2011-10-31
11653.1733643776,2011-11-30
11631.2300337214,2011-12-31
11660.1028372165,2012-01-31
11648.5537158184,2012-02-29
11664.7224857757,2012-03-31
11675.1166950339,2012-04-30
11695.9051135504,2012-05-31
11687.8207285717,2012-06-30
11703.989498529,2012-07-31
11670.4970464747,2012-08-31
11658.9479250766,2012-09-30
11647.3988036786,2012-10-31
11611.5965273447,2012-11-30
11611.5965273447,2012-12-31
11613.9063516243,2013-01-31
11633.539858001,2013-02-28
11660.1028372165,2013-03-31
11675.1166950339,2013-04-30
11690.1305528513,2013-05-31
11687.8207285717,2013-06-30
11686.6658164319,2013-07-31
11680.8912557329,2013-08-31
11667.0323100553,2013-09-30
